episode,reward,avg_reward,steps,epsilon
476,-10000.0,-2800.0,7,0.988482333001402
477,-10000.0,-2800.0,1,0.9884778906008431
478,-10000.0,-3400.0,1,0.988473448222496
479,-10000.0,-3400.0,1,0.9884690058663608
480,-10000.0,-3400.0,10,0.9884245835266352
481,-10000.0,-3400.0,1,0.9884201414148229
482,-10000.0,-4000.0,3,0.9884068152126485
483,-10000.0,-4000.0,4,0.9883890472540243
484,50000.0,-3400.0,5,0.9883668378054623
485,50000.0,-2800.0,6,0.9883401872000892
486,-10000.0,-3400.0,1,0.9883357455102575
487,-10000.0,-3400.0,2,0.988326862197219
488,-10000.0,-3400.0,7,0.9882957713011359
489,-10000,-3400.0,1,0.9882913298333831
490,-10000.0,-3400.0,5,0.9882691228277259
491,-10000.0,-3400.0,6,0.9882424751537583
492,-10000.0,-3400.0,7,0.9882113872111701
493,-10000.0,-3400.0,2,0.9882025051417083
494,-10000.0,-4000.0,2,0.988193623161067
495,-10000.0,-4000.0,9,0.9881536553473073
496,-10000.0,-4000.0,1,0.9881492145901324
497,-10000.0,-4000.0,2,0.9881403331423938
498,50000.0,-3400.0,10,0.9880959272358936
499,-10000.0,-3400.0,2,0.988087046321026
500,50000.0,-2800.0,26,0.9879716025090145
501,-10000.0,-2800.0,3,0.9879582830348732
502,-10000.0,-2800.0,2,0.9879494034964407
503,-10000.0,-3400.0,4,0.9879316446859594
504,-10000.0,-3400.0,2,0.987922765413909
505,-10000.0,-3400.0,3,0.9879094466723185
506,-10000.0,-3400.0,3,0.9878961281305078
507,50000.0,-2800.0,2,0.9878872492136211
508,-10000.0,-2800.0,4,0.9878694916462131
509,50000.0,-2200.0,9,0.9878295384180434
510,-10000.0,-2200.0,5,0.9878073429570274
511,50000.0,-1600.0,14,0.9877451986180976
512,-10000.0,-1600.0,2,0.9877363212104986
513,-10000,-1600.0,1,0.9877318825399892
514,-10000.0,-1600.0,2,0.9877230052655502
515,-10000.0,-1600.0,2,0.9877141280798836
516,-10000.0,-1600.0,3,0.9877008124678298
517,-10000.0,-1600.0,1,0.9876963739748637
518,-10000.0,-2200.0,17,0.987620922989788
519,-10000.0,-2800.0,4,0.9876031707488513
520,-10000.0,-2800.0,5,0.9875809809469562
521,50000.0,-2200.0,24,0.9874744776195701
522,50000.0,-1600.0,18,0.9873946085107481
523,-10000.0,-1600.0,2,0.9873857346090326
524,-10000.0,-2200.0,2,0.9873768607960556
525,-10000.0,-2200.0,1,0.9873724239228439
526,-10000.0,-2200.0,14,0.987310310027181
527,50000.0,-2200.0,5,0.9872881275467125
528,-10000.0,-2200.0,9,0.9872482004793385
529,-10000.0,-2800.0,3,0.9872348918561463
530,-10000.0,-2800.0,2,0.9872260195515893
531,-10000.0,-2800.0,3,0.9872127112611084
532,-10000.0,-2800.0,9,0.9871727875873911
533,-10000.0,-2800.0,15,0.9871062521234332
534,-10000.0,-2800.0,5,0.9870840747443486
535,-10000.0,-2800.0,2,0.9870752039479551
536,-10000.0,-2800.0,4,0.98705746262129
537,-10000.0,-2800.0,11,0.9870086758024956
538,-10000.0,-2800.0,3,0.9869953707721466
539,-10000.0,-2800.0,3,0.9869820659413715
540,-10000.0,-2800.0,2,0.986973196165061
541,-10000.0,-2800.0,7,0.9869421526464599
542,-10000.0,-2800.0,6,0.9869155447810005
543,-10000.0,-2800.0,2,0.9869066756698984
